No_Hit,Age,Ever_Bankruptcy,Months_Since_Bankruptcy,Ever_Collection,Unpaid_Collection_Trades,Unpaid_Collection_Balance,Counseling_Last_12M,Unpaid_CO_84M,Delinq_90D_12M,Delinq_60D_12M,Delinq_60D_Curr,Delinq_30D_3M,Delinq_30D_Curr,Checking_Asset,Card_Inquiry_12M,Card_Open_24M,Personal_Loan,Unsecured_Debt,Revolving_Util,Income,Auth_User_Only,Student,Student_Loan_Amt,Ever_ChargeOff,ChargeOff_Balance,FICO_V,FICO_Imputed
0,22,0,0,0,0,0,0,0,1,1,1,0,1,1121,0,2.0,1,404.0,0.2110383104753982,48462,0,0,0.0,1,,577.0,577
1,21,0,0,0,0,0,0,0,0,0,0,1,0,2113,2,0.0,0,326.40000000000003,0.1526147685286987,28528,0,1,4650.099999999999,0,,,999
1,25,0,0,0,0,0,1,0,0,1,1,0,0,1196,2,1.0,0,689.0,0.5130311699563426,34766,0,0,0.0,1,,,999
1,19,0,0,0,0,0,0,0,0,0,0,0,1,2861,2,2.0,0,536.8000000000001,0.1803173370892808,21324,0,0,0.0,0,,,999
1,22,0,0,0,0,0,0,0,0,0,0,1,1,1623,2,2.0,0,318.0,0.0,52761,0,0,0.0,0,,,999
0,21,0,0,0,0,0,0,0,0,0,0,0,1,239,0,0.0,0,436.0,0.1307115210646726,23433,0,0,0.0,0,,675.0,675
0,18,0,0,0,0,0,0,0,0,1,0,0,1,1976,0,2.0,0,652.0,0.5050876630898561,52310,1,1,7536.2,0,,545.0,545
1,20,0,0,1,0,0,0,1,1,0,1,0,0,616,3,3.0,1,1312.0,0.255753980668623,26997,0,1,3657.5,0,,,999
0,23,0,0,0,0,0,0,0,0,1,0,0,1,1725,1,1.0,0,751.0,0.0,53453,0,0,0.0,0,,679.0,679
0,18,0,0,0,0,0,0,1,0,0,1,0,0,704,0,2.0,1,200.0,0.1743356538836737,49207,0,1,4028.5,1,,605.0,605
1,18,0,0,0,0,0,0,0,1,0,1,0,1,2119,1,0.0,1,1424.0,0.0238676250377334,46008,1,0,0.0,0,,,999
1,23,0,0,1,0,0,0,0,1,0,1,0,0,1617,2,0.0,0,118.0,0.1535146724281038,32284,0,1,21857.0,0,,,999
0,22,0,0,0,0,0,0,0,0,0,0,1,1,609,3,1.0,0,876.0,0.4562924960770692,29255,0,0,0.0,0,,556.0,556
0,21,0,0,0,0,0,0,0,0,1,0,0,0,1352,0,0.0,0,200.8,0.2819282507646042,54160,0,1,13950.3,0,,558.0,558
0,25,0,0,0,0,0,0,0,0,0,0,0,1,93,0,0.0,0,110.0,0.0,48931,0,0,0.0,0,,655.0,655
0,25,0,0,0,0,0,1,0,0,0,0,0,0,331,2,0.0,0,285.0,0.2858791940250663,40617,0,0,0.0,0,,620.0,620
0,19,0,0,0,0,0,1,0,0,0,0,0,0,2764,0,1.0,0,753.6,0.3666146070737325,21505,1,1,1585.5,0,,651.0,651
0,19,0,0,1,0,0,1,1,1,0,0,1,0,554,2,2.0,1,548.0,0.350520727097133,47604,1,1,17100.3,1,,634.0,634
0,21,0,0,0,0,0,0,0,0,0,0,0,0,1670,3,2.0,0,136.0,0.1576717716798695,20837,1,1,6104.7,0,,541.0,541
1,18,0,0,1,0,0,0,0,1,0,1,0,0,170,1,1.0,0,754.4000000000001,0.0011885372555145,32031,0,1,4461.099999999999,0,,,999
0,21,0,0,0,0,0,0,0,0,0,0,0,0,2199,1,2.0,0,792.8000000000001,0.2693621873152283,28533,0,0,0.0,0,,605.0,605
0,19,0,0,0,0,0,1,0,0,1,0,1,0,2876,2,1.0,0,247.2,0.3966287169959142,38368,0,0,0.0,0,,641.0,641
1,18,0,0,1,0,0,0,0,1,0,1,0,0,1125,0,0.0,0,530.4,0.308291067938941,49510,0,0,0.0,1,,,999
0,22,0,0,0,0,0,0,0,1,1,0,1,0,176,3,2.0,0,981.0,0.4078787464271284,20081,0,0,0.0,0,,650.0,650
0,23,0,0,0,0,0,1,0,0,0,0,0,1,619,3,1.0,0,247.0,0.3067624032195464,35949,0,0,0.0,0,,649.0,649
1,18,0,0,0,0,0,0,0,0,0,0,1,1,2606,2,0.0,0,380.8,0.0,52502,0,1,10372.6,0,,,999
1,20,0,0,0,0,0,0,0,0,0,0,0,0,1623,0,2.0,0,562.4,0.1036349832861611,43875,1,0,0.0,0,,,999
1,18,0,0,1,0,0,1,1,0,0,1,0,0,966,1,2.0,0,228.0,0.3236316889001303,28360,0,0,0.0,1,,,999
1,19,0,0,0,0,0,1,0,0,0,0,0,0,1631,2,0.0,0,230.4,0.2373687490805728,52593,0,0,0.0,0,,,999
0,24,0,0,0,0,0,0,1,0,0,0,0,0,2934,2,2.0,1,1180.0,0.4670727706870257,45128,0,0,0.0,0,,637.0,637
1,18,0,0,0,0,0,1,0,0,0,0,0,0,877,1,0.0,0,133.6,0.115406074359403,21868,1,0,0.0,0,,,999
1,24,0,0,0,0,0,0,1,0,0,0,0,0,1744,0,2.0,0,330.0,0.0,25232,0,0,0.0,0,,,999
0,22,0,0,1,0,0,0,0,0,0,1,0,0,1735,1,2.0,0,861.0,0.3362522486940689,49543,0,1,7858.0,0,,514.0,514
1,23,0,0,0,0,0,1,0,1,1,1,1,0,1925,0,0.0,0,534.0,0.1779203482862304,44284,1,1,20433.0,1,,,999
0,23,0,0,1,0,0,0,0,1,0,0,1,0,1917,1,2.0,0,832.0,0.3487879202996121,47424,0,0,0.0,1,,510.0,510
0,21,0,0,0,0,0,0,1,0,0,0,0,1,467,3,2.0,0,551.2,0.0,41042,0,1,11123.0,0,,558.0,558
1,20,0,0,0,0,0,0,0,1,0,0,1,0,1917,3,2.0,0,76.0,0.2473134329602671,21665,1,1,12248.6,0,,,999
1,24,0,0,0,0,0,0,1,0,0,0,0,0,920,3,0.0,0,668.0,0.2331740521016422,26673,0,0,0.0,0,,,999
0,25,0,0,0,0,0,0,0,1,1,0,0,0,1603,3,2.0,0,664.0,0.3913528492663086,49869,0,0,0.0,0,,593.0,593
1,18,0,0,0,0,0,1,0,0,0,0,0,1,2192,1,1.0,0,503.2000000000001,0.3450067136667298,30183,1,0,0.0,0,,,999
0,20,0,0,0,0,0,0,0,0,0,0,0,0,763,0,0.0,0,263.2,0.0,20696,0,0,0.0,0,,594.0,594
0,25,0,0,0,0,0,0,0,0,0,0,0,0,1888,3,2.0,0,459.0,0.4089200432616831,39652,0,0,0.0,0,,643.0,643
1,18,0,0,0,0,0,0,0,0,0,0,0,0,1051,2,0.0,0,238.4,0.0857341243280272,22318,1,0,0.0,0,,,999
0,22,0,0,0,0,0,0,1,0,0,0,0,0,1138,3,1.0,0,25.0,0.0711790284341125,20628,1,0,0.0,0,,649.0,649
0,22,0,0,0,0,0,0,0,0,0,0,1,0,325,3,0.0,0,566.0,0.0,41054,0,1,5251.0,0,,584.0,584
1,20,0,0,0,0,0,0,0,0,1,0,0,0,64,2,1.0,0,169.60000000000002,0.2693859008391913,29412,0,0,0.0,0,,,999
0,22,0,0,0,0,0,0,0,0,0,0,1,0,2952,0,1.0,0,705.0,0.3557122713167138,35759,0,1,20774.0,0,,595.0,595
1,18,0,0,0,0,0,1,0,0,1,0,0,0,2285,2,0.0,0,162.4,0.0,31990,1,0,0.0,0,,,999
1,20,0,0,0,0,0,1,0,0,1,0,0,1,651,2,2.0,1,128.0,0.1208924969480175,19066,0,0,0.0,0,,,999
0,19,0,0,0,0,0,1,0,1,0,1,0,0,2363,1,0.0,1,897.6,0.3137330221432487,54088,0,1,6594.0,1,,618.0,618
0,20,0,0,0,0,0,0,0,0,0,0,0,0,2722,2,1.0,0,504.8,0.2190325553322149,25463,0,0,0.0,0,,502.0,502
1,22,0,0,0,0,0,0,0,1,0,0,0,0,2600,3,0.0,0,80.0,0.173641667283606,31807,0,1,2702.0,1,,,999
0,21,0,0,1,0,0,0,0,1,1,1,0,0,777,3,2.0,0,799.2,0.1537437992480218,32842,1,1,12016.2,1,,645.0,645
1,25,0,0,0,0,0,1,1,0,1,0,0,0,2712,2,2.0,0,465.0,0.2169722962602687,36771,0,0,0.0,0,,,999
1,25,0,0,0,0,0,0,0,0,0,0,1,1,439,0,1.0,0,584.0,0.4445092073976072,30607,0,0,0.0,0,,,999
1,18,0,0,0,0,0,0,1,0,1,0,0,1,2236,1,2.0,0,749.6,0.2495075999035995,41641,1,0,0.0,0,,,999
0,20,0,0,0,0,0,0,1,0,0,0,1,0,2172,0,0.0,0,291.2,0.1264455538640293,19462,0,1,9325.4,0,,595.0,595
0,21,0,0,0,0,0,0,0,0,0,0,0,0,1294,1,1.0,0,276.0,0.2918676026097361,54277,1,1,15734.6,0,,583.0,583
0,23,0,0,0,0,0,0,0,0,0,0,1,0,1806,2,2.0,0,330.0,0.4386995997861526,35036,0,1,12321.0,0,,561.0,561
0,20,0,0,0,0,0,1,1,0,1,0,1,0,2062,1,2.0,1,1040.0,0.2774668335403044,40922,0,0,0.0,0,,680.0,680
0,21,0,0,0,0,0,0,1,0,0,0,0,0,250,2,1.0,0,594.4,0.3092730045351639,21696,1,0,0.0,0,,619.0,619
0,24,0,0,0,0,0,0,0,0,0,0,0,0,2945,1,2.0,0,510.0,0.347279467714455,53690,0,0,0.0,0,,532.0,532
1,19,0,0,0,0,0,0,0,0,0,0,0,0,1395,2,1.0,0,713.6,0.2941498477991693,22533,0,1,17490.899999999998,0,,,999
0,24,0,0,0,0,0,1,0,0,1,0,1,1,576,0,1.0,0,272.0,0.1,26712,0,0,0.0,0,,676.0,676
1,20,0,0,1,0,0,0,0,1,0,1,1,0,1482,2,2.0,0,21.6,0.2920292787259764,49950,1,1,7615.999999999999,1,,,999
0,21,0,0,0,0,0,0,0,0,0,0,0,0,808,2,0.0,0,226.4,0.0,33522,0,0,0.0,0,,642.0,642
0,21,0,0,0,0,0,1,0,0,1,0,0,1,1741,2,1.0,0,181.6,0.4016525013619008,53343,1,0,0.0,0,,506.0,506
1,23,0,0,0,0,0,0,0,0,0,0,0,0,1070,1,0.0,1,1396.0,0.45239454699476,51314,0,0,0.0,0,,,999
1,20,0,0,0,0,0,0,0,0,0,0,0,0,1585,3,1.0,0,650.4000000000001,0.107608893260604,33038,1,0,0.0,0,,,999
1,20,0,0,0,0,0,0,1,0,0,0,0,0,796,2,0.0,0,42.400000000000006,0.104880729974372,45405,0,1,1590.4,0,,,999
1,18,0,0,0,0,0,1,1,0,0,0,0,0,833,2,0.0,0,627.2,0.4306975796108484,48175,1,1,11477.2,0,,,999
0,21,0,0,0,0,0,1,1,1,0,0,0,0,2788,1,1.0,0,620.8000000000001,0.3906262943793263,50990,0,0,0.0,0,,661.0,661
0,19,0,0,0,0,0,0,0,0,0,0,0,0,1590,0,2.0,0,254.4,0.3977750427754183,42029,1,1,14268.8,0,,549.0,549
0,22,0,0,0,0,0,1,0,0,0,0,0,0,1419,3,1.0,0,885.0,0.6372095274566385,20261,1,1,16508.0,0,,510.0,510
0,19,0,0,0,0,0,1,0,0,0,0,0,0,536,2,2.0,1,896.0,0.2978888985470197,34306,0,0,0.0,0,,672.0,672
1,19,0,0,1,0,0,0,1,0,0,1,0,0,1473,1,2.0,0,375.2000000000001,0.4686905444799469,23983,0,1,11977.7,1,,,999
1,18,0,0,0,0,0,1,0,0,0,0,0,1,1089,1,0.0,1,1351.2,0.5104608311653108,27127,0,1,14310.1,0,,,999
0,23,0,0,0,0,0,0,0,1,0,0,0,1,2369,1,1.0,0,761.0,0.1100642776071868,30838,0,1,10608.0,0,,561.0,561
0,23,0,0,0,0,0,1,0,0,1,0,1,0,1788,0,0.0,0,924.0,0.6281462905558538,53089,0,0,0.0,0,,583.0,583
1,19,0,0,0,0,0,1,0,0,0,0,1,0,1782,3,2.0,1,299.2,0.2499219468846501,29991,0,0,0.0,0,,,999
0,21,0,0,0,0,0,1,0,0,1,0,0,0,707,3,1.0,0,18.4,0.0849565067055566,31029,1,0,0.0,0,,612.0,612
0,21,0,0,0,0,0,0,0,0,0,0,1,1,1888,1,1.0,1,1493.6,0.0644293819854479,44208,0,0,0.0,0,,677.0,677
1,24,0,0,0,0,0,1,0,0,0,0,1,1,1622,0,2.0,0,905.0,0.4588148522317503,33629,1,0,0.0,0,,,999
0,20,0,0,0,0,0,0,0,0,0,0,1,0,2165,3,0.0,0,370.4,0.3393520211921094,19044,0,0,0.0,0,,610.0,610
0,22,0,0,0,0,0,0,0,1,0,0,1,0,411,2,2.0,0,214.0,0.0055126986171591,45620,1,0,0.0,0,,588.0,588
1,19,0,0,1,0,0,1,1,1,1,1,0,1,676,3,2.0,0,496.8,0.2309542640762444,25667,0,0,0.0,0,,,999
0,21,0,0,0,0,0,0,0,0,1,0,0,0,2700,0,0.0,0,763.2,0.1650751364639756,43444,0,1,2531.9,0,,537.0,537
0,24,0,0,0,0,0,0,0,1,0,0,1,0,1050,1,1.0,0,832.0,0.4715574123678523,36062,0,0,0.0,0,,540.0,540
1,19,0,0,1,0,0,0,0,0,1,1,0,1,1997,1,2.0,1,639.2,0.6067083723767055,43161,0,0,0.0,0,,,999
1,18,0,0,0,0,0,0,0,0,0,0,0,1,2095,0,0.0,0,31.200000000000003,0.0,50575,0,0,0.0,0,,,999
0,22,0,0,0,0,0,1,0,0,0,0,0,0,2680,1,1.0,0,916.0,0.0757517634681558,28313,1,1,16130.0,0,,593.0,593
0,25,0,0,1,0,0,0,0,0,0,0,0,0,1229,1,2.0,0,982.0,0.3935895633269687,20693,1,0,0.0,1,50.0,573.0,573
1,18,0,0,0,0,0,0,0,0,0,0,0,0,1165,3,1.0,0,68.8,0.0,51823,0,0,0.0,0,,,999
0,19,0,0,1,0,0,0,1,1,0,1,0,1,411,2,1.0,0,516.8000000000001,0.1105356079356047,35661,1,0,0.0,1,,622.0,622
0,22,0,0,0,0,0,0,0,0,0,0,1,1,324,0,2.0,1,102.0,0.4391509381786075,40427,0,1,12748.0,0,,511.0,511
0,23,0,0,1,0,0,0,0,0,0,0,1,0,2197,0,2.0,0,250.0,0.2856091250103404,26905,0,0,0.0,1,50.0,632.0,632
1,20,0,0,0,0,0,0,0,0,0,0,0,0,2508,2,1.0,1,378.4,0.2012957027872873,35138,0,0,0.0,0,,,999
0,19,0,0,0,0,0,0,0,0,0,0,1,0,888,3,1.0,0,584.8000000000001,0.2538545316090782,48103,0,1,13787.2,0,,645.0,645
0,24,0,0,0,0,0,1,1,0,0,0,1,0,490,1,1.0,0,965.0,0.3377235445401195,20064,0,0,0.0,0,,532.0,532
0,24,0,0,1,0,0,0,0,1,0,1,0,1,1823,3,0.0,0,522.0,0.1931414191271115,29488,0,0,0.0,1,,579.0,579
1,18,0,0,0,0,0,0,0,1,0,0,0,0,2709,2,0.0,0,372.0,0.3084025487834531,23670,0,0,0.0,0,,,999
1,22,0,0,0,0,0,0,0,0,0,0,1,0,1142,2,2.0,0,738.0,0.1084170235195869,40502,0,1,10369.0,0,,,999
0,21,0,0,0,0,0,0,0,0,0,1,0,1,931,3,2.0,0,377.6,0.306308209523774,40966,1,0,0.0,1,,557.0,557
0,24,0,0,0,0,0,0,0,1,0,0,0,0,568,2,1.0,0,664.0,0.1357455962456598,32782,1,0,0.0,0,,642.0,642
0,23,0,0,0,0,0,1,0,0,0,0,0,1,2368,3,1.0,0,663.0,0.175730456617375,37727,0,0,0.0,0,,656.0,656
1,18,0,0,0,0,0,0,0,0,0,0,1,0,1075,1,1.0,0,691.2,0.3755076181289016,39755,0,1,8820.699999999999,0,,,999
1,20,0,0,0,0,0,0,1,0,0,0,0,0,316,1,2.0,0,304.8,0.3184938156183854,28476,1,1,3245.9,0,,,999
0,22,0,0,1,0,0,0,0,1,0,1,0,0,1450,3,0.0,0,934.0,0.1594717061662839,51158,1,1,14281.0,1,953.6262290207036,617.0,617
0,18,0,0,0,0,0,0,0,0,0,0,0,0,584,1,0.0,1,570.4,0.0718152436557612,54719,1,1,9995.3,0,,515.0,515
0,21,0,0,0,0,0,1,0,0,0,0,1,0,2510,0,2.0,1,924.8,0.2557807819778177,18718,0,0,0.0,0,,597.0,597
0,19,0,0,1,0,0,0,1,1,0,1,0,1,1811,0,2.0,1,461.6,0.0644759077443156,36255,0,0,0.0,1,,581.0,581
1,20,0,0,0,0,0,0,0,0,0,0,0,0,2526,2,0.0,0,723.2,0.1292196858439951,44084,0,1,17092.6,0,,,999
1,19,0,0,0,0,0,0,1,0,0,0,1,0,156,2,2.0,0,296.0,0.2441286905689353,41163,1,1,11766.3,0,,,999
0,23,0,0,0,0,0,1,0,0,0,0,0,1,1597,2,1.0,1,374.0,0.2025330449962203,25816,0,0,0.0,0,,599.0,599
0,24,0,0,1,0,0,0,0,1,0,1,0,1,2494,2,0.0,1,833.0,0.1472533286939026,47738,0,0,0.0,1,,663.0,663
0,18,0,0,0,0,0,0,0,0,0,0,0,1,2891,0,0.0,1,1497.6,0.3341977673770486,53536,0,0,0.0,0,,638.0,638
1,20,0,0,0,0,0,0,0,1,0,0,0,0,1735,3,2.0,0,532.0,0.3920231053261894,22100,1,0,0.0,0,,,999
0,22,0,0,0,0,0,1,0,0,0,0,1,0,578,0,0.0,0,9.0,0.1227823378625668,44329,0,0,0.0,0,,628.0,628
1,22,0,0,0,0,0,0,0,1,1,1,1,0,1731,0,0.0,0,181.0,0.2065645249999357,25796,1,1,3255.0,1,,,999
1,18,0,0,1,0,0,0,0,1,0,1,0,0,909,0,2.0,0,655.2,0.4495667194723682,41564,0,0,0.0,0,,,999
1,19,0,0,0,0,0,0,0,0,0,0,1,0,1582,0,2.0,1,54.400000000000006,0.0975557809029437,26640,0,0,0.0,0,,,999
0,21,0,0,0,0,0,0,0,0,0,0,0,0,753,0,1.0,0,509.6,0.2450473170908854,47312,1,0,0.0,0,,617.0,617
0,22,0,0,0,0,0,0,0,0,0,0,0,1,1721,3,2.0,0,30.0,0.3522554203209507,35626,0,1,21715.0,0,,678.0,678
0,20,0,0,0,0,0,1,0,0,1,0,0,1,2019,3,2.0,0,434.4,0.2132268400056693,18507,1,1,12685.4,0,,678.0,678
0,20,0,0,0,0,0,1,0,1,1,1,0,1,1524,2,0.0,0,678.4000000000001,0.373974561067036,52120,0,0,0.0,1,,586.0,586
1,22,0,0,0,0,0,0,0,0,0,0,1,0,1581,3,3.0,0,455.0,0.1979733118032022,51108,1,1,14672.0,0,,,999
0,24,0,0,1,0,0,1,1,1,0,1,0,0,1770,0,0.0,1,1591.0,0.4478851976998612,45553,0,0,0.0,0,,531.0,531
0,20,0,0,0,0,0,0,1,0,0,0,0,0,1422,2,1.0,0,600.8000000000001,0.2424725910885816,38359,0,0,0.0,0,,656.0,656
1,24,0,0,0,0,0,0,0,0,0,0,0,0,307,1,0.0,0,200.0,0.3681319024220258,50347,0,0,0.0,0,,,999
1,24,0,0,0,0,0,0,0,0,1,0,1,1,2877,2,1.0,0,105.0,0.3519208176812711,20244,0,0,0.0,0,,,999
1,18,0,0,0,0,0,0,0,0,0,0,0,0,341,0,2.0,1,934.4,0.1731569277861156,36325,0,0,0.0,0,,,999
1,23,0,0,1,0,0,1,0,1,1,0,0,1,2605,0,2.0,0,574.0,0.0,21478,0,0,0.0,1,,,999
0,22,0,0,0,0,0,1,0,0,0,0,0,0,204,2,0.0,0,201.0,0.2591510439342508,19867,0,0,0.0,0,,603.0,603
1,18,0,0,0,0,0,1,0,0,0,0,0,0,948,3,2.0,1,1128.0,0.2268020718360243,48482,1,1,15781.499999999998,0,,,999
0,21,0,0,0,0,0,0,0,0,0,0,0,0,2242,1,1.0,0,337.6,0.4496884300629594,26536,0,1,13419.7,0,,543.0,543
1,21,0,0,0,0,0,0,0,0,0,0,0,1,509,3,3.0,1,136.8,0.3381365791914993,24190,1,1,9647.4,0,,,999
0,21,0,0,0,0,0,1,1,0,1,0,0,0,1323,0,0.0,1,843.2,0.2248840045429281,26723,0,1,3973.2,0,,551.0,551
1,22,0,0,0,0,0,0,0,1,0,0,0,0,1536,2,2.0,0,342.0,0.0936878966046772,43618,0,0,0.0,0,,,999
0,19,0,0,0,0,0,0,0,0,1,0,0,0,295,1,1.0,0,774.4000000000001,0.0381028139241322,40747,0,0,0.0,0,,664.0,664
0,21,0,0,0,0,0,0,0,0,0,0,1,0,525,3,2.0,0,287.2,0.3682171561070522,38354,1,0,0.0,0,,641.0,641
0,19,0,0,0,0,0,0,0,0,0,0,0,1,2488,0,1.0,0,76.0,0.5533885189076927,21856,0,1,9039.8,0,,644.0,644
0,19,0,0,0,0,0,0,0,0,1,0,1,0,418,2,1.0,0,556.8000000000001,0.1883080422029162,27106,0,0,0.0,0,,530.0,530
0,25,0,0,0,0,0,0,0,1,0,0,0,0,881,0,1.0,1,1419.0,0.3492656951292743,35263,0,0,0.0,1,,663.0,663
0,20,0,0,0,0,0,0,0,0,0,0,1,0,1288,0,2.0,0,621.6,0.4569487592607934,43298,0,0,0.0,0,,587.0,587
0,22,0,0,0,0,0,0,0,0,0,0,0,0,1791,1,1.0,0,729.0,0.0,19251,0,1,14686.0,0,,644.0,644
0,21,0,0,0,0,0,0,0,1,0,1,0,0,1229,2,0.0,1,1067.2,0.6520361425780412,20260,0,0,0.0,1,,636.0,636
1,18,0,0,0,0,0,0,0,0,0,0,0,1,2253,3,0.0,1,1228.8000000000002,0.2703385181640391,36941,0,0,0.0,0,,,999
0,22,0,0,0,0,0,0,0,0,0,0,0,0,717,1,2.0,0,883.0,0.0916178692040872,53797,0,0,0.0,0,,538.0,538
0,19,0,0,1,0,0,0,1,1,0,0,0,0,2362,1,1.0,0,174.4,0.1191599110231518,49707,0,0,0.0,1,,602.0,602
1,24,0,0,0,0,0,0,0,0,0,0,1,0,151,0,1.0,0,919.0,0.2804165222607716,47808,0,0,0.0,0,,,999
1,21,0,0,0,0,0,1,0,0,1,0,0,0,2863,1,1.0,0,552.8000000000001,0.0014972168595406,46692,0,1,14887.6,0,,,999
1,18,0,0,0,0,0,0,1,0,0,0,0,0,1240,1,2.0,0,410.4,0.197801233549921,18246,1,1,14975.8,0,,,999
1,21,0,0,0,0,0,0,0,0,0,0,0,0,2174,2,1.0,0,538.4,0.5310548387011065,20964,0,0,0.0,0,,,999
1,19,0,0,0,0,0,0,1,0,1,0,0,1,2883,1,0.0,0,621.6,0.2394825785804521,39686,0,1,5732.299999999999,0,,,999
1,18,0,0,0,0,0,0,0,1,0,0,0,0,795,2,2.0,0,379.2000000000001,0.5199213234409619,38890,1,1,16211.999999999998,0,,,999
1,21,0,0,0,0,0,0,0,0,0,0,0,0,2681,0,0.0,1,56.0,0.272787450184634,23116,1,1,7575.4,0,,,999
1,19,0,0,0,0,0,0,1,0,0,0,0,0,1404,0,0.0,0,23.200000000000003,0.3249180324596123,35448,1,1,3880.1,0,,,999
0,20,0,0,0,0,0,1,0,0,0,0,0,0,504,3,0.0,1,463.2000000000001,0.2094819640434213,38914,0,1,6953.099999999999,0,,671.0,671
1,20,0,0,0,0,0,1,0,0,1,0,1,0,2291,1,2.0,0,96.8,0.1471877818390966,27078,0,1,5657.4,0,,,999
0,19,0,0,0,0,0,0,0,0,0,0,1,1,1805,0,0.0,1,266.40000000000003,0.2176330063515927,18877,0,0,0.0,0,,616.0,616
1,18,0,0,0,0,0,0,0,0,0,0,0,0,1543,3,1.0,0,34.4,0.1451919287484201,45011,0,0,0.0,0,,,999
1,24,0,0,0,0,0,0,1,0,0,0,0,0,1946,1,1.0,1,929.0,0.2190966860735291,30931,0,1,22344.0,0,,,999
